,GWP100,LT,RE,lip,sol,,
10318,2.0958765],0.6975956],-0.6388047],0.09089233],-4.83596],,
5188,2.0958927],0.6743475],-0.635337],0.09046818],-4.645276],,
856,2.0961046],0.60703754],-0.56113267],0.05386533],-4.360334],,
8974,2.0961676],0.83726966],-0.6663372],0.13015933],-4.773318],,
1318,2.0963752],0.765816],-0.6638217],0.0903479],-4.0229383],,
3142,2.096474],0.74681515],-0.6548523],0.11420251],-4.594168],,
10291,2.0965278],0.6792997],-0.64396036],0.09095849],-4.641567],,
10186,2.096658],0.6776669],-0.6548941],0.28533095],-4.9844007],,
496,2.09682],0.63827735],-0.64626676],0.09955086],-4.0826445],,
4162,2.0969574],0.6038814],-0.6378402],0.08704986],-4.5148425],,
145,2.0969837],0.43840063],-0.599308],0.01060511],-3.700409],,
4870,2.0970473],0.7797058],-0.65877783],0.12934561],-4.589444],,
8812,2.0973177],0.8676677],-0.6750428],0.13008685],-4.6308017],,
6160,2.0973775],0.7126028],-0.6285455],0.09007336],-4.6481447],,
3466,2.0974324],0.73039365],-0.650917],0.11472239],-4.5480175],,
1630,2.0977886],0.6995151],-0.6547599],0.11344124],-4.348794],,
6811,2.097793],0.5935593],-0.71385443],0.28718334],-4.8949275],,
1414,2.0978405],0.5871516],-0.603409],0.03836061],-4.4177737],,
12457,2.098275],0.7704229],-0.67770743],0.1303602],-4.746444],,
4270,2.098363],0.5438078],-0.59474754],0.09153594],-4.6155677],,
4840,2.098491],0.7274548],-0.70144403],0.34950054],-4.7416883],,
6328,2.0984948],0.769132],-0.6493232],0.12953915],-4.6050014],,
12289,2.0985072],0.59644186],-0.5994575],0.09705158],-4.898748],,
40,2.098594],0.32023656],-0.5554687],0.05018069],-3.0837073],,
3088,2.0986416],0.670565],-0.6588019],0.11394216],-4.468426],,
118,2.0986488],0.44871438],-0.574702],0.01382013],-3.627799],,
1537,2.0986502],0.54265636],-0.6837822],0.35597342],-4.3533545],,
12619,2.0987105],0.781729],-0.6653539],0.13058515],-4.8582025],,
5950,2.0987866],0.8468343],-0.6424955],0.12962194],-4.749577],,
11506,2.0988424],0.6983979],-0.64762795],0.09011884],-4.68844],,
2752,2.0989642],0.4660055],-0.71057796],0.29763883],-4.4682918],,
10918,2.0990138],0.7786768],-0.60924464],0.13076998],-4.8881936],,
157,2.0991113],0.79516286],-0.6612879],0.05968286],-3.2378576],,
4408,2.099147],0.8258556],-0.71224654],0.34964663],-4.7495146],,
3493,2.099345],0.62287164],-0.6407343],0.0672362],-4.5862875],,
10480,2.099702],0.68810356],-0.6279281],0.09055795],-4.810386],,
982,2.0997424],0.5993678],-0.64901495],0.10010488],-4.1838427],,
6202,2.100057],0.8580128],-0.621256],0.14001538],-4.713573],,
12478,2.100108],0.64006954],-0.6636504],0.09116961],-4.661758],,
12667,2.100155],0.65289766],-0.6410432],0.09592505],-4.815564],,
4210,2.100207],0.47791106],-0.69371283],0.29675406],-4.4469647],,
8494,2.1002893],0.6185692],-0.6546018],0.31280816],-4.9289746],,
4453,2.100372],0.6765562],-0.6833067],0.38029134],-4.6044784],,
9244,2.100671],0.7485504],-0.66353035],0.12984641],-4.6475353],,
2194,2.100736],0.5046564],-0.729918],0.32095802],-4.587231],,
11593,2.1007428],0.7267886],-0.6695657],0.12963922],-4.800627],,
208,2.1009552],0.6032359],-0.6107377],0.08524491],-3.7628307],,
3433,2.1011305],0.64000595],-0.62962484],0.08672912],-4.4961863],,
10432,2.101339],0.81093764],-0.6559974],0.13065381],-4.8407393],,
2008,2.1013439],0.7511737],-0.6491286],0.1139598],-4.3741727],,
370,2.1014414],0.58304256],-0.57750386],0.02739121],-3.9682312],,
10702,2.1014698],0.7361098],-0.6614301],0.13045813],-4.717652],,
9562,2.1015072],0.6505346],-0.6405165],0.09122331],-4.684348],,
5248,2.101996],0.765865],-0.6369701],0.12580933],-4.707973],,
2137,2.1020415],0.6504557],-0.6217729],0.08608039],-4.4559755],,
8584,2.1020424],0.52266943],-0.71329165],0.3190378],-4.72636],,
10048,2.1021152],0.6560631],-0.64121914],0.09127875],-4.7346506],,
283,2.1023135],0.5616619],-0.57848483],0.08403321],-3.9238796],,
3001,2.1023166],0.6086136],-0.64277875],0.08639403],-4.3875422],,
11401,2.1023805],0.6993265],-0.71187943],0.28454602],-4.9636045],,
12943,2.1025372],0.7813967],-0.6650011],0.1306686],-4.8408456],,
10969,2.1025627],0.72476214],-0.73146725],0.34978288],-4.806887],,
11749,2.102617],0.6165541],-0.65718865],0.09678991],-4.6848745],,
11944,2.1026397],0.761707],-0.6456777],0.06667127],-4.9154344],,
4546,2.1026933],0.79342103],-0.6590833],0.12942816],-4.611054],,
1075,2.1028824],0.81093085],-0.6508243],0.02330537],-3.9969337],,
10576,2.1028953],0.81063175],-0.58554965],0.08846273],-4.8907905],,
9076,2.102914],0.7087154],-0.6429293],0.09045567],-4.6701403],,
3979,2.1029446],0.5846404],-0.65496075],0.052202],-4.610648],,
2461,2.1031253],0.57791114],-0.5971049],0.09535213],-4.548795],,
451,2.1031692],0.54663926],-0.5994824],0.03402396],-4.013161],,
11107,2.103216],0.6885791],-0.6751542],0.12951036],-4.7363515],,
2266,2.103289],0.47516125],-0.7019614],0.29670113],-4.4715114],,
7270,2.1034749],0.6201814],-0.71913356],0.29076177],-4.97404],,
3724,2.103567],0.51187336],-0.694895],0.29603738],-4.4167705],,
4387,2.1036081],0.89890933],-0.64009035],0.08105339],-4.240767],,
4282,2.1036334],0.56652856],-0.647691],0.28789878],-4.6632433],,
11485,2.1036484],0.7891092],-0.6756923],0.12977596],-4.7892504],,
10594,2.103701],0.7476054],-0.5962059],0.0781817],-4.933767],,
5032,2.103866],0.8017908],-0.65536225],0.12934573],-4.594064],,
6058,2.1039083],0.83198774],-0.65356123],0.12989731],-4.6433845],,
10270,2.1039598],0.80097824],-0.66681516],0.13059111],-4.7154117],,
6430,2.1040719],0.7142897],-0.6216027],0.0900894],-4.7443886],,
4111,2.1042416],0.5868361],-0.6668654],0.25857204],-4.751511],,
2116,2.1048658],0.6884773],-0.6443057],0.11363496],-4.365347],,
4615,2.1049066],0.5981358],-0.6786711],0.3800978],-4.6165223],,
12130,2.1051242],0.6488027],-0.6668858],0.28625506],-5.006119],,
6622,2.1051793],0.6289654],-0.734069],0.3501252],-4.861134],,
760,2.1051972],0.48658967],-0.64825046],0.08696319],-4.2891164],,
5242,2.1052296],0.684412],-0.63087773],0.09306051],-4.71213],,
415,2.105403],0.47976553],-0.6499195],0.02591611],-3.9639225],,
5674,2.1054347],0.6844807],-0.6327265],0.09048797],-4.6567373],,
589,2.1054962],0.8429946],-0.666394],0.02236314],-3.927598],,
8260,2.1055207],0.53242546],-0.71497816],0.3811599],-4.6469097],,
10540,2.105549],0.70930076],-0.63727397],0.07790805],-4.8611026],,
6802,2.1056588],0.52560973],-0.7020716],0.38114804],-4.65025],,
12106,2.1058838],0.72052747],-0.6078912],0.06606956],-4.9848485],,
3574,2.1061885],0.6480595],-0.6538868],0.1146114],-4.5524087],,
1252,2.106197],0.6435556],-0.6490153],0.03767814],-4.338101],,
469,2.1062856],0.4916864],-0.60669184],0.02678724],-4.054784],,
7351,2.1064293],0.68220055],-0.6716958],0.3501901],-4.888867],,
13075,2.1064804],0.6797644],-0.66117597],0.2850297],-5.0197453],,
13051,2.1067095],0.67625666],-0.6639098],0.12916894],-4.8520603],,
7837,2.106731],0.6981781],-0.65117496],0.33539826],-4.9516935],,
12235,2.1069496],0.61886173],-0.6543375],0.0977136],-4.7343183],,
6865,2.107075],0.6193912],-0.7106575],0.285479],-4.9734416],,
4924,2.1073787],0.86561245],-0.6611887],0.12957002],-4.603111],,
2623,2.1075315],0.538797],-0.55985147],0.09636326],-4.6209283],,
8782,2.1075902],0.80116147],-0.7184775],0.35018516],-4.75205],,
2410,2.107591],0.55132014],-0.7175672],0.25685412],-4.7270875],,
8920,2.1076407],0.7547228],-0.6645678],0.12989892],-4.6657014],,
8656,2.107678],0.60948706],-0.65650463],0.31064475],-4.9341903],,
3382,2.1077235],0.6158285],-0.6513705],0.25760305],-4.7287717],,
6640,2.107735],0.5332041],-0.7027755],0.31772906],-4.7022395],,
6073,2.1077797],0.6130377],-0.66833186],0.38034034],-4.6225505],,
3730,2.1078985],0.58574927],-0.65014344],0.08628346],-4.418123],,
12721,2.107907],0.64397347],-0.65118885],0.09614547],-4.7324977],,
8053,2.1081953],0.68951917],-0.7361581],0.3505665],-4.9314885],,
6382,2.1082249],0.8457],-0.647482],0.12976362],-4.6230044],,
3055,2.1082492],0.6222716],-0.6396152],0.08897211],-4.531032],,
7624,2.1082852],0.64990085],-0.6079328],0.06820066],-4.889273],,
2248,2.1083105],0.5726372],-0.7300197],0.3094623],-4.701794],,
8422,2.1083124],0.5490881],-0.70972395],0.37797987],-4.710954],,
9406,2.1084306],0.7627805],-0.6603533],0.12984653],-4.729392],,
2995,2.1084979],0.5347383],-0.68804824],0.3567239],-4.387243],,
2515,2.1085198],0.5570624],-0.61457807],0.09622563],-4.4632792],,
12958,2.1087654],0.55365443],-0.69372904],0.31809402],-4.70833],,
6568,2.1089041],0.58493584],-0.7295086],0.35007668],-4.7163806],,
2734,2.1089332],0.6306096],-0.7188454],0.28999382],-4.7024255],,
8827,2.109004],0.62678],-0.6862004],0.3808453],-4.6078362],,
9130,2.1093543],0.7061261],-0.64068305],0.09305795],-4.8310714],,
11809,2.1093554],0.7220834],-0.64797795],0.06659956],-4.9172626],,
4570,2.1097124],0.84979045],-0.7056091],0.34967387],-4.746163],,
850,2.1097307],0.6268831],-0.5755052],0.09529151],-4.2638736],,
7243,2.10978],0.62324274],-0.71270496],0.28459167],-4.985825],,
11671,2.1097858],0.60725],-0.725147],0.35068583],-4.738416],,
523,2.1099792],0.66548645],-0.6409688],0.09941031],-4.138471],,
5896,2.110022],0.82116574],-0.6621634],0.12985702],-4.6091013],,
11263,2.1100354],0.6930905],-0.65052557],0.0903637],-4.6995583],,
3784,2.1100576],0.6007008],-0.64499843],0.08888109],-4.5709023],,
6490,2.1102068],0.7639605],-0.64200795],0.12956126],-4.6267514],,
9622,2.1102505],0.7606383],-0.6406824],0.06531318],-4.912878],,
6436,2.1102653],0.8453114],-0.63107675],0.12956055],-4.820546],,
6214,2.1102965],0.70372856],-0.6206863],0.09267963],-4.735452],,
9298,2.1103523],0.8278469],-0.6662295],0.13007088],-4.7161603],,
7972,2.1103752],0.67008],-0.6041231],0.2868085],-5.024035],,
2029,2.1103792],0.6308462],-0.6279694],0.0859675],-4.3705754],,
12565,2.1104476],0.6914824],-0.67337155],0.13027199],-4.738578],,
16,2.1105442],0.196509],-0.62442774],0.13286604],-2.985693],,
4939,2.1107635],0.67838097],-0.68315387],0.38028622],-4.5921955],,
3541,2.1107957],0.5767048],-0.5820433],0.08920951],-4.6104894],,
8098,2.111076],0.53483474],-0.7139219],0.3187459],-4.6835556],,
2824,2.1110923],0.55336124],-0.65656316],0.28793067],-4.679109],,
12796,2.1111677],0.56291556],-0.6884876],0.3780805],-4.6900067],,
8026,2.111212],0.6089214],-0.73541033],0.35052133],-4.7397466],,
5812,2.111375],0.70582736],-0.69010735],0.345753],-4.820888],,
3358,2.1114652],0.6838205],-0.5937752],0.05052193],-4.706412],,
2023,2.1114771],0.5535335],-0.67185426],0.35621428],-4.361898],,
922,2.111566],0.46315527],-0.61480135],0.08673497],-4.3186502],,
7783,2.1117313],0.63796794],-0.6649173],0.3504846],-4.8395433],,
8647,2.111742],0.6488672],-0.67143166],0.2843029],-5.011007],,
11317,2.111867],0.689074],-0.645591],0.09296538],-4.866429],,
11803,2.111974],0.6292056],-0.6392648],0.09675725],-4.835299],,
1342,2.1120286],0.60898626],-0.6010937],0.04857393],-4.3408465],,
8269,2.1120365],0.6227102],-0.7153486],0.28770536],-4.8947644],,
10756,2.1122146],0.8191943],-0.6530151],0.13072266],-4.805434],,
6004,2.11226],0.7468078],-0.6531501],0.1296369],-4.6023526],,
12634,2.1122832],0.5456345],-0.69587696],0.3812647],-4.625295],,
7324,2.1123786],0.6918379],-0.6590442],0.28759354],-4.9376464],,
9616,2.1125422],0.66704243],-0.63179696],0.0938132],-4.8385243],,
550,2.1125743],0.7147324],-0.64616597],0.09978272],-4.092682],,
5383,2.1126258],0.8325369],-0.6304264],0.12519713],-4.7336893],,
3649,2.1126335],0.5982133],-0.6824013],0.0859945],-4.3238955],,
11014,2.1126413],0.57968324],-0.69706905],0.37827504],-4.6566224],,
4033,2.1126733],0.617846],-0.6094444],0.05162729],-4.686667],,
1306,2.1127014],0.5065644],-0.64577097],0.03984733],-4.3072047],,
7540,2.1127338],0.6428971],-0.65278536],0.28773814],-4.8995967],,
5377,2.1128352],0.7230078],-0.62688303],0.09040184],-4.6965184],,
5539,2.1129339],0.69947654],-0.61979187],0.0905586],-4.7461414],,
1462,2.1130636],0.68279123],-0.6679707],0.08602102],-4.298675],,
4087,2.1130872],0.64734894],-0.6089555],0.05151023],-4.717841],,
9214,2.1131856],0.7253475],-0.7064005],0.35022295],-4.9518905],,
13030,2.1132252],0.6377747],-0.6476096],0.31120592],-4.922779],,
1738,2.1132805],0.715131],-0.63477373],0.11105765],-4.448891],,
5545,2.1134272],0.81038624],-0.6278328],0.12518652],-4.8028655],,
11176,2.113443],0.5677436],-0.69183457],0.3808213],-4.6242914],,
6757,2.113531],0.6422655],-0.72913015],0.33457267],-4.9712167],,
2791,2.1136982],0.64866936],-0.61633575],0.05065764],-4.7655396],,
1144,2.1138418],0.5717543],-0.64254034],0.10060568],-4.258145],,
1036,2.1138754],0.6733838],-0.6495229],0.10030372],-4.2734456],,
1792,2.1141117],0.6668099],-0.63375586],0.11071916],-4.4314246],,
1198,2.114238],0.61925656],-0.60335547],0.09746726],-4.3351855],,
472,2.1143138],0.57110906],-0.6228579],0.07627077],-3.7978997],,
391,2.1144655],0.61605394],-0.6062517],0.06256224],-3.6779993],,
6235,2.1144774],0.6239847],-0.66396165],0.38036937],-4.62081],,
11905,2.1146853],0.5509545],-0.6970793],0.38131362],-4.6373196],,
8431,2.1148453],0.62101156],-0.7054417],0.28630686],-4.9433856],,
2680,2.1149104],0.56781507],-0.73270196],0.32030094],-4.604504],,
6307,2.1149337],0.71566343],-0.6691941],0.37613153],-4.7355022],,
4216,2.1150312],0.55973154],-0.65205157],0.09184016],-4.44889],,
5110,2.1150718],0.6417684],-0.70119476],0.35018945],-4.71918],,
577,2.1150813],0.562492],-0.6283306],0.09805496],-4.1141343],,
889,2.1151874],0.44206023],-0.7098466],0.31819558],-4.1613045],,
952,2.1151962],0.53214854],-0.6701356],0.22255154],-4.498119],,
9484,2.115247],0.64142954],-0.7117431],0.35094762],-4.736278],,
2533,2.1155093],0.83113575],-0.6257198],0.10113014],-4.3457074],,
247,2.1155536],0.41362953],-0.6651907],0.07699831],-3.896521],,
10378,2.1155863],0.72536194],-0.65915155],0.13039334],-4.7158985],,
2437,2.1156313],0.5880763],-0.6596849],0.25790435],-4.639792],,
8710,2.115721],0.60804296],-0.66139084],0.31189907],-4.9278274],,
1846,2.1158924],0.71327204],-0.6301912],0.11099066],-4.50488],,
11938,2.1159008],0.6528934],-0.64135766],0.09811236],-4.821648],,
8989,2.1159651],0.59132445],-0.6828362],0.38077337],-4.613236],,
2920,2.1159945],0.66373754],-0.67161405],0.08648123],-4.287302],,
4351,2.1161625],0.55856603],-0.59640074],0.08935834],-4.5799823],,
10285,2.116206],0.59487545],-0.6830101],0.38135076],-4.6302586],,
85,2.1162117],0.36832452],-0.56505924],0.06632806],-3.5484664],,
12775,2.1162221],0.6225234],-0.59395385],0.09562452],-4.8973513],,
10771,2.116254],0.592548],-0.68259555],0.37775195],-4.700687],,
10534,2.1164186],0.6750722],-0.63278186],0.09069277],-4.729077],,
8638,2.1164312],0.5491861],-0.66571856],0.31633365],-4.8299136],,
11500,2.1165526],0.61367136],-0.6938427],0.33687425],-4.6765323],,
4696,2.1166584],0.6393863],-0.6806928],0.38007945],-4.597119],,
175,2.11675],0.6745703],-0.63075006],0.06151493],-3.4411874],,
5569,2.1168354],0.72031623],-0.6854287],0.3454551],-4.8231425],,
7126,2.1170135],0.542547],-0.69962704],0.31780815],-4.731064],,
13021,2.1171496],0.67286026],-0.6676407],0.2848636],-5.002731],,
8215,2.1172168],0.7131556],-0.71647596],0.31277704],-4.9756618],,
9943,2.1173027],0.68069583],-0.6511721],0.28533638],-4.98581],,
4624,2.1177208],0.69251466],-0.70137423],0.34948355],-4.7013803],,
9313,2.1177387],0.6355931],-0.68700063],0.38080722],-4.6328306],,
3196,2.1177673],0.7151021],-0.6363493],0.05056871],-4.6389937],,
7678,2.1177993],0.6909716],-0.5577506],0.06953974],-4.954977],,
7531,2.1178386],0.54880166],-0.65602493],0.3826053],-4.652825],,
1063,2.1180542],0.5430587],-0.6342129],0.03839715],-4.292992],,
8476,2.1181173],0.52698886],-0.6605562],0.31677884],-4.8152156],,
658,2.1181276],0.598366],-0.63959056],0.09974261],-4.0827646],,
6784,2.1181383],0.6240812],-0.7326652],0.35019076],-4.9635015],,
868,2.1181767],0.4679274],-0.5616682],0.08991285],-4.314071],,
2815,2.1182265],0.5928444],-0.67026997],0.25721824],-4.7572026],,
3925,2.1183205],0.67426133],-0.63929975],0.0518551],-4.6460323],,
12472,2.118363],0.5583788],-0.6965878],0.3253113],-4.647438],,
10864,2.118407],0.7231009],-0.65206313],0.13051625],-4.821566],,
12850,2.1185265],0.5435306],-0.64206946],0.316274],-4.799104],,
613,2.1185694],0.68963104],-0.6223583],0.10102542],-4.122195],,
4273,2.1186042],0.6048638],-0.66555154],0.25751054],-4.7475486],,
1732,2.118642],0.6269494],-0.62785065],0.0862387],-4.4150743],,
7402,2.1186535],0.64030087],-0.6019476],0.09944339],-4.8649125],,
4135,2.118672],0.5777112],-0.683885],0.08699591],-4.3420014],,
1099,2.1187336],0.6507183],-0.58794796],0.04154821],-4.3053436],,
1300,2.1188693],0.49120617],-0.650756],0.08612348],-4.147043],,
1360,2.1188948],0.5487097],-0.60866654],0.03960635],-4.386516],,
6082,2.1190875],0.7122555],-0.6889907],0.34973937],-4.726768],,
2305,2.1191137],0.62582874],-0.6528553],0.05088653],-4.701269],,
12643,2.1191754],0.6372631],-0.7135534],0.28725976],-4.884643],,
2299,2.1193366],0.54388034],-0.65097314],0.09353407],-4.6290703],,
9919,2.1193383],0.76044023],-0.5939155],0.06506826],-4.9723296],,
1924,2.1194134],0.6350213],-0.6881199],0.31805843],-4.5604916],,
12211,2.1195276],0.6980878],-0.70931756],0.33553696],-4.946111],,
571,2.119669],0.545287],-0.63368815],0.07989229],-4.066546],,
445,2.1196806],0.55944884],-0.6146418],0.0805306],-3.9082284],,
3865,2.1197765],0.6216389],-0.6481912],0.08861686],-4.524954],,
1804,2.119824],0.8972337],-0.6630743],0.02911271],-4.275042],,
10447,2.1198354],0.576127],-0.68265676],0.38104582],-4.6233373],,
6820,2.11988],0.58834946],-0.6925911],0.37695003],-4.7982783],,
6244,2.1199424],0.7056972],-0.6863205],0.34977037],-4.7342324],,
8566,2.120046],0.68321526],-0.719157],0.3505633],-4.950332],,
2428,2.120058],0.49415612],-0.6549365],0.35799193],-4.405827],,
7108,2.120067],0.62299526],-0.7249208],0.35031158],-4.9489264],,
5344,2.1201127],0.6172538],-0.66443485],0.3808413],-4.6283374],,
8080,2.120247],0.6841655],-0.73591244],0.3506521],-4.887666],,
12427,2.1203306],0.724411],-0.72977865],0.35059547],-4.8987546],,
8944,2.1203616],0.8038881],-0.7112016],0.35022348],-4.8697934],,
10609,2.1204727],0.5905713],-0.67531097],0.38053644],-4.686018],,
5437,2.1204896],0.72512853],-0.6319479],0.12512656],-4.703585],,
12100,2.1204927],0.603817],-0.5953343],0.09752049],-4.8982296],,
3481,2.1205091],0.5166696],-0.68336105],0.32114542],-4.443951],,
9757,2.1207273],0.8093272],-0.6342665],0.0652758],-4.906836],,
7513,2.1207755],0.661497],-0.65735394],0.28662902],-4.9590497],,
7894,2.121033],0.7304893],-0.55936253],0.06821992],-5.025762],,
1009,2.1210887],0.6644231],-0.64447767],0.10015734],-4.3142123],,
11725,2.1212142],0.68138653],-0.7249213],0.35099536],-4.8712068],,
6586,2.1213768],0.5372869],-0.7166404],0.38070077],-4.6989956],,
2164,2.1215832],0.64986193],-0.63167846],0.08870609],-4.4123435],,
8242,2.121677],0.6785256],-0.72550046],0.35008854],-4.962951],,
202,2.1216874],0.6236108],-0.6371312],0.01558192],-3.744522],,
4354,2.1217384],0.59296024],-0.67017907],0.25729227],-4.7500834],,
5911,2.1219943],0.6191193],-0.6774212],0.3804831],-4.5988374],,
3991,2.1220934],0.82899106],-0.66332436],0.09838285],-4.336823],,
8323,2.1221435],0.66293854],-0.7050717],0.28608954],-4.96868],,
1948,2.1224017],0.6280868],-0.6616801],0.08625944],-4.3063807],,
6604,2.1224492],0.5996497],-0.71350014],0.37664545],-4.8108525],,
11131,2.1225145],0.7507729],-0.72629637],0.34988326],-4.935165],,
2491,2.122564],0.6223672],-0.64450777],0.2580263],-4.7055187],,
1057,2.122606],0.52354777],-0.63792586],0.08065946],-4.142275],,
229,2.1226523],0.67175364],-0.62305415],0.06162001],-3.5256763],,
121,2.122667],0.57046515],-0.5527992],0.05261232],-3.1847675],,
7408,2.1227555],0.7592815],-0.59464204],0.0672092],-4.9751973],,
3250,2.1228426],0.63222915],-0.64223766],0.05062093],-4.595671],,
3190,2.1228979],0.61236787],-0.62765336],0.08701958],-4.531433],,
3703,2.1229198],0.6254506],-0.6703162],0.08858205],-4.418035],,
11641,2.1230195],0.7022676],-0.66293085],0.09272631],-4.795037],,
10159,2.1230896],0.6862512],-0.64528006],0.28532255],-4.988024],,
808,2.123094],0.4502806],-0.64977264],0.26459455],-4.1823077],,
7189,2.1232011],0.63164324],-0.7075872],0.28459233],-4.9748464],,
4399,2.1232293],0.675413],-0.6976455],0.38029832],-4.6153216],,
13012,2.1232533],0.58738697],-0.64846265],0.3154388],-4.8191924],,
4777,2.1233017],0.63871044],-0.67783546],0.38008273],-4.6034927],,
1117,2.123433],0.5907351],-0.59383166],0.03866644],-4.371454],,
6397,2.1235073],0.627455],-0.6697799],0.3804077],-4.6079597],,
12805,2.1235716],0.63464373],-0.70073813],0.28547835],-4.9363685],,
6514,2.1235929],0.7669144],-0.6855533],0.3497709],-4.7995543],,
12346,2.1237078],0.66021883],-0.66092753],0.28630966],-5.0198216],,
67,2.1239622],0.58544797],-0.5955198],0.05196001],-3.0978498],,
364,2.1240861],0.6012036],-0.5958142],0.01633455],-3.8884573],,
3487,2.1241262],0.5915768],-0.6365187],0.08662339],-4.438047],,
6973,2.1242878],0.6057155],-0.7125636],0.2852071],-4.950117],,
9070,2.1243956],0.6279483],-0.686553],0.38082516],-4.6414456],,
10588,2.124633],0.65652645],-0.58121336],0.09329726],-4.898189],,
11914,2.1246665],0.64486176],-0.711848],0.28785908],-4.8871512],,
11185,2.1247263],0.65556985],-0.71391416],0.28625888],-4.833397],,
2785,2.1248279],0.5277989],-0.6171641],0.09330584],-4.633674],,
3262,2.1248868],0.87014353],-0.64796156],0.03005667],-4.3374085],,
3622,2.1249635],0.6081375],-0.59447396],0.08951588],-4.5472937],,
1516,2.125011],0.7143014],-0.65487444],0.08854575],-4.3162355],,
7636,2.125013],0.90204877],-0.6247925],0.10757895],-4.6175795],,
9718,2.1251209],0.5940789],-0.6807337],0.38157475],-4.63261],,
172,2.1251605],0.49390966],-0.6351267],0.08517893],-3.7542288],,
8512,2.1251884],0.61752886],-0.72681344],0.35091037],-4.8408217],,
10024,2.1252923],0.7380271],-0.698736],0.33561426],-4.9360385],,
10888,2.1252966],0.7258232],-0.6560704],0.3505469],-4.99165],,
11998,2.1252978],0.6502098],-0.6520568],0.06674267],-4.884833],,
7888,2.125305],0.60553104],-0.56050533],0.10045452],-4.909015],,
3304,2.1253264],0.66211116],-0.5956701],0.05074073],-4.6749773],,
11743,2.125564],0.54046005],-0.69418895],0.31981146],-4.658219],,
3406,2.1256027],0.60790676],-0.6691912],0.08695282],-4.310347],,
2569,2.1256285],0.5264416],-0.55863595],0.0976028],-4.626271],,
9913,2.1256995],0.6520255],-0.5812397],0.09120037],-4.897989],,
1570,2.125975],0.6293044],-0.63532495],0.08568485],-4.435244],,
4432,2.125993],0.7756366],-0.67686415],0.09260984],-4.5630193],,
1678,2.1260023],0.68861663],-0.64009845],0.08849026],-4.3621764],,
12157,2.1260192],0.63873243],-0.7211416],0.3506233],-4.8313103],,
11155,2.126045],0.6824072],-0.6793874],0.09271874],-4.726272],,
4249,2.1260765],0.66928726],-0.6033293],0.05043085],-4.754984],,
11257,2.126171],0.61195123],-0.69295156],0.31776577],-4.6743226],,
7036,2.1262515],0.61501276],-0.69154036],0.31156844],-4.912708],,
6289,2.126384],0.6167278],-0.6666136],0.38036442],-4.632057],,
685,2.1264045],0.67296934],-0.63254005],0.09969099],-4.2137213],,
11617,2.1264384],0.7325825],-0.71470034],0.348445],-4.971725],,
7594,2.1265135],0.6794062],-0.6421198],0.28612232],-4.967611],,
8278,2.1265442],0.6127996],-0.7014827],0.37696183],-4.7949934],,
7054,2.1266024],0.5760447],-0.7221332],0.35039467],-4.843023],,
3352,2.1266308],0.5809],-0.58151615],0.08713754],-4.61846],,
607,2.126658],0.70809627],-0.6440966],0.02429141],-4.096141],,
1576,2.1266842],0.7454341],-0.6423374],0.11332865],-4.4844866],,
4264,2.1267471],0.5114906],-0.646165],0.29324293],-4.5594587],,
5182,2.1268165],0.5905205],-0.672266],0.37866867],-4.608022],,
12229,2.1269155],0.5341573],-0.6930593],0.31955206],-4.7124677],,
5056,2.1269524],0.8165387],-0.70097274],0.34958792],-4.741961],,
8341,2.1269753],0.5373875],-0.7122519],0.3193801],-4.727845],,
5491,2.1269896],0.7758493],-0.62678206],0.1253996],-4.7769513],,
13084,2.1270301],0.63369465],-0.6531856],0.3115412],-4.91604],,
3811,2.1271446],0.60016066],-0.66601825],0.08606382],-4.3702765],,
9751,2.1271884],0.698336],-0.6295496],0.09123911],-4.8202386],,
7369,2.1272442],0.5469491],-0.6527802],0.32044458],-4.6871705],,
2806,2.12725],0.48986328],-0.665272],0.29401052],-4.572022],,
5449,2.1273408],0.96680075],-0.6649479],0.03495933],-4.5303373],,
9538,2.1275313],0.7150547],-0.7104229],0.35118872],-4.871939],,
10042,2.1276824],0.5672966],-0.67993647],0.31854743],-4.711762],,
6538,2.1278315],0.7289033],-0.6338979],0.09279712],-4.665752],,
1786,2.1279275],0.63510334],-0.63322604],0.08646186],-4.3898635],,
3886,2.1279967],0.48430395],-0.698512],0.35722196],-4.3844485],,
12589,2.12801],0.74871683],-0.71033263],0.34878153],-4.9516616],,
2974,2.1282055],0.6719959],-0.65579647],0.08901699],-4.352245],,
3919,2.128312],0.5720294],-0.63281554],0.09267296],-4.5327625],,
4594,2.1285841],0.7795395],-0.65873456],0.09266384],-4.6082745],,
226,2.128628],0.5693382],-0.62928617],0.08574553],-3.8170147],,
3136,2.1286423],0.6524067],-0.6427895],0.08898659],-4.461618],,
11425,2.128741],0.66685444],-0.6847905],0.09017183],-4.581598],,
5164,2.1287634],0.7108957],-0.7006688],0.35031003],-4.730993],,
4417,2.1288087],0.76739675],-0.6932556],0.37617755],-4.6637826],,
5215,2.1288114],0.6854414],-0.62887216],0.09040184],-4.724214],,
1699,2.1290872],0.53132594],-0.67448306],0.35666645],-4.3830323],,
8440,2.129115],0.62382627],-0.69072425],0.36364472],-4.8768544],,
334,2.1291902],0.49100697],-0.63970584],0.08598311],-3.9312181],,
3973,2.129271],0.560374],-0.65275556],0.09404512],-4.4581757],,
1336,2.1294436],0.6305818],-0.61714065],0.0919043],-4.247518],,
